"","user_type","weekday","avg_duration"
"1","casual","Mon",33.8251310282038
"2","casual","Tue",29.6665557924844
"3","casual","Wed",29.3604117654449
"4","casual","Thu",29.3898476917114
"5","casual","Fri",32.2854209317762
"6","casual","Sat",36.4569042996339
"7","casual","Sun",39.5307232690515
"8","member","Mon",13.3352993074531
"9","member","Tue",12.8426693764628
"10","member","Wed",12.8625031126445
"11","member","Thu",12.840055284323
"12","member","Fri",13.3660605469302
"13","member","Sat",15.4037184355245
"14","member","Sun",15.807410801964
